when	언제
controversy	논쟁
department store	백화점
eat out	외식하다
exhibition	전시회, 전람회
expert	전문가, 익숙한 사람
governor	주지사, 통치자
grief	슬픔
holy	신성한, 경건한
income	(정기적인) 수입, 소득, 급여
information desk	안내 데스크
jealous	질투하는, 시기하는
landscape	풍경, 경치
limitless	제한이 없는, 무한의
passport	여권
personality	개성, 성격, 유명인사
philosophy	철학
pork	돼지고기
previous	이전의, 사전의, 조급한, ~보다 앞서
spectacle	광경, 안경
stage	무대, 시기, 단계
sword	검, 무력
threaten	위협하다
tool	도구, 연장
vision	시력, 통찰력
worship	예배, 숭배, 명예, 예배하다, 찬미하다
astray	길을 잃어, 정도에서 벗어나, 타락하여
burden	무거운 짐, 부담, 짐을 지우다, 고생, 간접비
celebration	축하, 축전
density	밀도
guilty	유죄의
harmonization	조화, 일치
ignore	무시하다
life span	수명
mammal	포유동물
narcissistically	자기 도취되어
payday	월급날, 급여지급일
physical	물리적인, 물질의, 육체의
pop culture	대중 문화
positive	명백한, 적극적인
quantity	분량, 다량, 다수, 양을 나타내는 숫자, 기간
review	복습, 재검토, 평론, 재검토하다
scope	범위, 시야, 여유, 여지, 퍼짐
self-control	자제, 자제력, 자기 관리
soothe	위로하다, 진정시키다
stair	계단
sympathy	동정, 호의, 연민의 정, 일치, 교감
tendency	경향, 풍조, 버릇, 성향
textile	직물, 직물의
tradition	전설, 전통, 관습
transact	처리하다, 거래하다
brief	짧은, 간결한
clean up	청소하다
deprive	빼앗다
describe	묘사하다, 기술하다, 설명하다, 간주하다, 나타내다
desperately	몹시, 필사적으로
flesh	살, 육체
groundwater	지하수, 갱내수
heir	상속인, 후계자, 상속하다
idealistic	이상주의적인, 관념론적인
immoral	부도덕한
Jew	유대인, 유대교도
liberty	자유, ~할 권리, 석방, 도를 넘은 자유, 특권
orientation	안내,
painful	고통스러운, 괴로운
preparation	준비, 대비
pure	순수한, 단순한, 맑은, 청순한, 순종의, 순이론적인
satisfaction	만족, 만족시키는 것, 빚의 변제
shortcoming	결점, 단점, 결핍, 흉작
sponsor	후원 사,후원하다
standpoint	입장, 견지
territory	영토, 영역, 분야
throb	(심장이) 뛰다, 두근거리다, 맥박, 고동, 흥분하다
violate	어기다, 더럽히다, 어지럽히다, 방해하다, 침해하다
battlefield	전쟁터
element	요소, 원소
excess	초과, 과잉
harmful	해로운, 해가 되는
inexpensive	값싼
long-distance	장거리의
metropolis	수도, 중심지, 대도시
partnership	제휴, 협력
Protestantism	개신교
psychology	심리학, 심리
role model	역할 모델, 모범 인물
sidewalk	보도, 인도
spokesperson	대변인
stare	뚫어지게 보다
tolerable	참을 수 있는, 상당한
absence	부재, 결핍, 결석, 없음, 방심
admiration	감탄, 칭찬, 칭찬의 대상
attend a class	수업에 출석하다
championship	선수권 대회
client	고객, 변호 의뢰인
cupboard	찬장
depth	깊이
descriptive	묘사의, 서술적인
earthquake	지진, 사회적인 큰 변동
energize	~에게 활력을 주다
favorably	유리하게, 순조롭게
flu	유행성 감기 (= influenza)
gardening	원예, 정원 가꾸기
handwriting	필체
hospitality	환대
majority	대다수, 전공하다
miser	구두쇠
oxygen	산소
questionnaire	설문지
significance	의미, 뜻 깊음, 중요성
style	문체, 양식
thunder	천둥
visible	눈에 보이는
visually	시각적으로
welfare	복지, 후생, 복지사업, 복지의
automatically	자동으로
beast	짐승, 짐승 같은 인간, 고집쟁이
disappointing	실망스러운
equip	갖추다, 장비하다
exhibit	전시하다, 보이다, 전시(물)
gravitation	인력, 중력, 하강, 경향, 추세
grocery store	식료품점
homesick	향수병에 걸린
intercourse	교제
lade	싣다
lunch break	점심 시간
majesty	존엄
mischief	장난, 손해
narrow-minded	속 좁은, 옹졸한
native	타고난, 태어난
notable	주목할 만한, 유명한
noted	저명한, 유명한
outlook	전망, ~관, 조망, 경치, 사고방식
passenger	승객, 여객, 통행인, 부담스런 존재
priest	성직자, 사제
proposal	제의, 신청
recollect	회상하다
rejoice	기뻐하다
royalty	왕족, 저작권 사용료
sane	제정신의, 온전한
select	고르다, 선발하다, 선택하다, 가려낸, 까다로운
shade	그늘, 그늘진 곳, 색조
solar system	태양계
tend	향하다, 도달하다, 경향이 있다, 공헌하다, 간호하다, 손질하다
transform	바꾸다, 변형시키다
unforgettable	잊을 수 없는, 언제까지나 기억에 남는
wordy	장황한
accidentally	우연히, 뜻밖에, 부수적으로
adoration	예배, 애모, 동경
alcoholic	알코올 중독자, 알코올의, 알코올에 담근, 주류
astronaut	우주 비행사
bone	뼈
bravery	용기, 용맹, 훌륭함, 화려함
bush	관목, 덤불
clue	단서, 실마리
congress	회의
creature	창조물, 생물
deceive	속이다, 현혹시키다, 잘못 생각하다, 사기치다
heathen	이교도, 이방인(의)
hostility	적개심, 적대행위, 교전상태, 반항, 저항
infancy	유년기, 유아, 초기, 미성년
jury	배심원
miniature	축소지도, 축소모형
parenting	육아, 양육
priceless	매우 귀중한
profitable	이익을 많이 내는, 유익한
reliance	신뢰
scatter	뿌리다
summarize	요약하다
surface	표면,떠오르다
terribly	몹시, 지독하게
uniqueness	유일함
utilize	활용하다, 이용하다
vogue	유행
apologize	사과하다, 변명하다, 옹호하다
appetite	식용, 욕망, 갈망, 기호, 좋아함
argue	논하다, 설득하다, 주장하다
attract	끌다, 끌어당기다, 매혹하다
backseat	뒷좌석
cliff	절벽, 낭떠러지
co-operate	협력하다
cough	기침,기침하다
district	구역, 지역
generosity	활수, 관대, 관대한 행위, 풍부함
horror	공포
Judaism	유대교, 유대주의
man-made	인공의
minority	소수, 소수 민족
murder	살인,살해하다
popularity	인기, 유행
solution	해결, 용해
splendid	화려한, 훌륭한
atom	원자, 미분자, 극소량
biography	전기, 일대기, 전기문학
birth rate	출생률
ceiling	천장
chemistry	화학
coworker	동료
fianc?	약혼자 (남자)
flour	밀가루
hatch	(알이) 부화하다
identity	동일함, 동일성, 주체성, 신원, (수학)항등식
import	수입하다, 들여오다,수입, 수입품
misleading	오해하게 만드는
office hours	근무 시간, 영업 시간
parliament	의회, 국회
physician	(내과) 의사
remedy	치료, 치료약, 배상, 고치다, 개선하다, 배상하다
soul	영혼, 마음, 생기, 감정, 흑인의
theme	주제, 제목
tumult	소동
wealth	재산, 부자, 다량, 자원
advantage	유리, 이익, 우세, 장점, 이롭게 하다, 이익을 얻다
architecture	건축, 건축술, 건축학
astronomy	천문학, 천문학 논문
beware	조심하다, 주의하다
bleed	출혈하다
citizenship	시민권, 국적
debtor	채무자
drawer	서랍, (-s) 장롱
emergency	비상 사태, 위급
feminine	여성의
fortune	운, 행운, 재산
frank	솔직한
impulse	충격, 자극, 충격량, 욕구
invest	투자하다, 부여하다
irregular	불규칙한
item	품목
nationality	국적, 국민성
outcome	결과, 성과
preparedness	준비, 대비
queer	별난, 기묘한
religion	종교, 신앙, 귀중한 의무
resign	사직하다, 단념하다
supply	공급, 공급하다, 배달하다, 대리하다, 공급, 재고품
throne	왕위, 왕좌
timber	재목, 목재
treachery	배신, 반역, 반역행위, 변절
violence	격렬함, 폭력, 강간, 모독, (의미의)곡해, 불일치
athletics	운동 경기, 체육실기
awful	끔찍한, 무서운, 경외심을 일으키게 하는, 대한한, 몹시
counselor	상담자, 상담 교사
cowardice	겁, 소심, 비겁
destiny	운명, 숙명, 하늘, 신의 뜻
duty-free shop	면세점
favorable	호의적인, 유리한, 순조로운, 승낙의
innocent	순결한, 결백한
meaningful	의미 있는, 중요한, 의미심장한
overwork	과로하다,과로
pause	멈춤, 중지, 멈추다
regret	후회하다,유감, 후회
science fiction	공상 과학 소설
sensibility	감각, 감수성
spacecraft	우주선
sting	찌르다, (동물의) 침, 고통
survey	둘러보다, 개관하다, 개관, 조사
terrified	겁먹은, 깜짝 놀란
upright	똑바른, 정직한
wardrobe	옷장
warfare	전쟁, 전투, 교전
wicked	사악한
akin	동족의, 동류의, 유사한
announce	알리다, 발표하다, ~임을 나타내다
barbarian	야만인, 야만의, 잔인한, 이방인, 교양없는 사람
counsel	의논, 충고, 협의, 조언, 변호인, 권하다, 조언하다
diplomat	외교관, 외교가, 권모술수에 능한 사람
engineering	공학
figure	수치, 인물, 모습
geographical	지리상의, 지리적인
geography	지리학
globe	지구
horrible	끔찍한, 지독한
inhabit	~에 살다, ~에 거주하다, 서식하다, ~에 존재하다
legislation	입법, 법률제정, 입법조치
leisure	틈, 여가, 한가한
passive	수동적인, 소극적인
peak season	성수기
pleasurable	유쾌한, 즐거운
spicy	매운, 양념을 넣은
telescope	망원경
terrifying	무시무시한, 놀라운
agriculture	농업, 농경, 농학
appetizer	전채 요리, 식욕을 돋우는 것
bossy	명령하기 좋아하는, 권위적인
comet	혜성
delight	즐거움, 즐겁게 하다
distinct	명백한, 명확한
drip	(물방울이) 뚝뚝 떨어지다
encouragement	격려, 장려
finance	재무, 재력, 자금, ~에 융자하다, 자금을 조달하다
heal	치료하다, 화해시키다, 정화시키다, 고쳐지다
imitate	따라하다, 모방하다
imprison	~을 교도소에 넣다, 투옥하다
installation	설치, 설비
married	결혼한, 기혼의
microscope	현미경
motive	동기, 동기가 되다
muscle	근육
object to	~에 반대하다
official	공식의, 공무상의, 공무원
posterity	자손, 후손
requirement	필요 조건, 자격
slavery	노예 제도
so far	지금까지
souvenir	기념품
symmetry	균형, 조화, 좌우대칭, 대칭성
vehicle	차, 탈것, 수단, 매체
wastewater	하수, 폐수
aroma	향기, 기품, 풍취
athletic	운동 경기의, 체육적, 운동가용의, 강건한
bomb	폭탄, 폭격하다
Christianity	기독교
cope	맞서다, 대처하다, 극복하다, 덮이다
crosswalk	횡단 보도
disappointed	실망한, 낙담한
engagement	약속, 약혼, 교전
extent	넓이, 길이, 광활한 지역, 한계
foundation	창설, 설립, 토대, 근거, 재단, 보강재료
geometry	기하학, 결합구조
intelligence	지능, 지성
lightweight	경량의
noble	귀족,고귀한
peculiarity	특색, 버릇
physics	물리학
pottery	도자기, 도기류
prophecy	예언
resent	분개하다
stability	안정, 안정성
upset	뒤집어엎다, 망쳐버리다, 타도하다
anniversary	기념일, 기념제, 기일, 매년의
armed	무장한, 무기를 가진, 보호기관을 갖춘
aware	알고 있는, 알아차린, 사정에 정통한
awareness	자각, 인식, 각성상태
basis	기초, 토대, 기본원리, 주성분
boredom	지루함
case-by-case	개별적인, 사항별의
circumstance	상황, 환경, 생활형편, 부대상황, 요란함
communist	공산주의의,공산주의자
cruel	잔인한, 잔혹한
emotion	감동, 감격, 감정
eyewitness	목격자
fate	운명, 비운, 인과, 죽음, 파멸, 운명짓다
handicapped	신체 장애가 있는,(the ~) 신체 장애자
harmless	무해한, 악의 없는
isolated	고립된, 외딴
labor	노동, 근로, 애씀, 고역, 일하다, 애쓰다, 산고를 겪다, 상세히 논하다
limited	제한된, 부족한
machinery	기계 장치, 기계류
major in	~을 전공하다
naked	나체의, 벌거벗은
orphan	고아,고아로 만들다
pasture	목장, 목초지
pessimist	비관론자
possession	소유, (-s) 소유물, 재산
pulse	맥박
royal	왕의, 왕위의, 위엄 있는
technical	기술적인, 전문의
tribe	종족
accordance	일치, 조화, 부합, 수여
advertise	광고하다, 선전하다, 공시하다, 짐짓 눈에 띄게 하다
babysitter	아이 봐주는 사람, 보모
breathe	숨쉬다, 호흡하다
celebrated	유명한, 저명한
cheer up	격려하다, (C-) 힘내, 이겨라!
chivalry	기사도, 기사도 제도, (집합적)기사
dispute	논쟁, 분쟁,논쟁하다
fame	명성, 평판, 유명하게 하다
frequently	자주
fury	격노, 격분, 격정, 광포, 난폭한 사람
gamble	도박을 하다
greeting	인사, (-s) 인사말
indicate	지시하다, 나타내다
manual	(사용) 안내서, 지도서
marketplace	시장, 경제계
navigation	항해(술), 항공(술)
pressure	압력, 압박, 기압, 압박감
prosperity	번창, 행운, 번영의 상태
righteous	바른, 공정한
semester	학기
smart	재치 있는, 영리한
swear	맹세하다
tasteful	고상한, 안목 있는
accomplish	이루다, 성취하다, 완성하다, 만료하다, 주파하다
biology	생물학, 생태학, 동식물, 생태
dumb	벙어리의
funeral	장례식, 장례행렬, 장례식의
generous	많은, 후한, 관대한
geology	지질학
historian	역사가
identical	동일한, 일치하는
loyal	충성스러운, 성실한
mankind	인류, 인간
pant	헐떡이다, 갈망하다, 숨차다, 엔진의 배기음
project	계획, 계획하다, 내던지다
recruitment	신입사원 모집
relate	관계시키다, ~와 친척이다, 부합하다, 말하다
reverie	환상
round trip	왕복 여행
vow	맹세(하다)
adolescence	청년기, 사춘기
advertisement	광고, 선전, 공시, 통고
canal	운하, 수로
carpool	자동차를 합승하다
communism	공산주의
cruelty	잔인
divorce	~와 이혼하다,이혼
fantasy	공상, 변덕, 환상적인 작품, 상상하다, 공상에 잠기다
feudal	봉건적인
fierce	사나운, 맹렬한
fright	놀람, 공포
generalization	일반화, 개괄, 종합, 법칙화, 개념
genius	천재, ~의 재주, 귀재, 천성, 수호신
institution	제도, 협회
laboratory	실험실, 연구소
rural	시골의
steady	한결같은, 확고한, 고정된, 불변의, 받침, 침착하게 하다
sweetheart	연인, 애인
theory	학설, 이론, 의견, 공론, 가설, 추측
timely	때맞춘, 적시의
addition	부가, 증축부분, 덧셈, 첨가반응
amuse	재미나게 하다, 즐기다, 지루함을 달래다
assist	돕다, 원조하다, 출석하다, 거들다, 보조장치
barrier	울타리, 요새, 장애물, 장벽
boss	우두머리, 사장, 상관, 상사
cathedral	성당, 대성당
commercial	상업의,광고 방송, 영리적인, 선전용의
defiance	도전, 무시
descend	내려오다
existence	실재, 실존, 생존, 존재자, 생활방식
foliage	(무성한) 나뭇잎
incline	기울이다, 마음이 기울다, 경사
interest rate	이자율, 금리
justify	정당화하다, 변명하다
length	길이
overpopulation	인구 과잉
penalty	벌금, 형벌
policy	경영법, 방책, 수단, 정책, 보험증권
possibility	가능성, 가망
prey	먹이,먹이로 삼다
ray	광선
stroll	한가롭게 거닐다, 산책
surround	둘러싸다

